Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary,measureKNN
vehicle,1,1,"weka,classifiers,lazy,IBk","'-K 5 -W 0 -X -A \""weka,core,neighboursearch,LinearNNSearch -A \\\""weka,core,EuclideanDistance -R first-last\\\""\""'",-3080186098777070000,20200000,676,170,124,46,0,"72,9411764706","27,0588235294",0,"0,6388824752","0,1562060127","0,2888595538","41,6645479153","66,7146430961","339,9400974187","171,7253201508","168,214777268","1,9996476319","1,0101489421","0,9894986898","222,3966983923","1,3082158729","11123,444894166","0,9268292683",38,"0,0542635659",7,"0,9457364341",122,"0,0731707317",3,"0,8444444444","0,9268292683","0,8837209302","0,9732463604","0,7294117647","0,0915235683","0,9084764317","0,2705882353","0,7167265613","0,7294117647","0,7159450363","0,9094934726",1,94,0,"0,09",127681,125515,33929,?,4
vehicle,1,2,"weka,classifiers,lazy,IBk","'-K 5 -W 0 -X -A \""weka,core,neighboursearch,LinearNNSearch -A \\\""weka,core,EuclideanDistance -R first-last\\\""\""'",-3080186098777070000,20200000,677,169,118,51,0,"69,8224852071","30,1775147929",0,"0,597299444","0,1874072716","0,3307881269","49,98960619","76,4041869941","337,8854455582","243,7411605144","94,1442850438","1,9993221631","1,4422553877","0,5570667754","193,4938400766","1,144933965","9677,4248266016",975,39,"0,0465116279",6,"0,9534883721",123,25,1,"0,8666666667",975,"0,9176470588","0,993120155","0,6982248521","0,1016363675","0,8983636325","0,3017751479","0,6806903353","0,6982248521","0,6791448121","0,8627900273",0,75,0,"0,07",127862,125696,33748,?,4
vehicle,1,3,"weka,classifiers,lazy,IBk","'-K 5 -W 0 -X -A \""weka,core,neighboursearch,LinearNNSearch -A \\\""weka,core,EuclideanDistance -R first-last\\\""\""'",-3080186098777070000,20200000,677,169,118,51,0,"69,8224852071","30,1775147929",0,"0,5965076541","0,1807602852","0,3318861941","48,2160093278","76,656485117","337,8984820639","310,6465248968","27,2519571671","1,9993993022","1,8381451177","0,1612541844","198,0818008218","1,1720816617","9907,0145154426","0,8292682927",34,"0,0625",8,"0,9375",120,"0,1707317073",7,"0,8095238095","0,8292682927","0,8192771084","0,9422637195","0,6982248521","0,1017645346","0,8982354654","0,3017751479","0,6844197689","0,6982248521","0,6729048343","0,8593223825",1,75,0,"0,07",127862,125696,33748,?,4
vehicle,1,4,"weka,classifiers,lazy,IBk","'-K 5 -W 0 -X -A \""weka,core,neighboursearch,LinearNNSearch -A \\\""weka,core,EuclideanDistance -R first-last\\\""\""'",-3080186098777070000,20200000,677,169,127,42,0,"75,1479289941","24,8520710059",0,"0,6679608925","0,1556494476","0,2935026496","41,5179429847","67,7909533035","337,8984820639","162,3305374817","175,5679445821","1,9993993022","0,9605357247","1,0388635774","220,7171681285","1,3060187463","11039,1170687248","0,9512195122",39,"0,0390625",5,"0,9609375",123,"0,0487804878",2,"0,8863636364","0,9512195122","0,9176470588","0,9693216463","0,7514792899","0,0835179804","0,9164820196","0,2485207101","0,7451819364","0,7514792899","0,7326181208","0,9148066474",0,74,0,"0,07",127862,125696,33748,?,4
vehicle,1,5,"weka,classifiers,lazy,IBk","'-K 5 -W 0 -X -A \""weka,core,neighboursearch,LinearNNSearch -A \\\""weka,core,EuclideanDistance -R first-last\\\""\""'",-3080186098777070000,20200000,677,169,111,58,0,"65,6804733728","34,3195266272",0,"0,5425824817","0,1808557347","0,3376040084","48,2409104946","77,9760134026","337,9087753745","300,6213679987","37,2874073758","1,9994602093","1,7788246627","0,2206355466","200,2274563292","1,1847778481","10014,3896029637","0,9268292683",38,"0,1484375",19,"0,8515625",109,"0,0731707317",3,"0,6666666667","0,9268292683","0,7755102041","0,9252096037","0,6568047337","0,1143602893","0,8856397107","0,3431952663","0,637964202","0,6568047337","0,6377498481","0,8560324739",0,75,0,"0,07",127854,125696,33748,?,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media,"0,960632297",,,,,Media Recall,"0,7068290985",,,,,,,,,,,
,,,,,,,,,,,Accuracy,,,Media,"0,6086465895",Media,"0,3165281066",,,,,,,,,,,,,,Accuracy,"0,9411764706",,,,,,,Desv,"0,0268433053",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Desv,"0,0476260778",Desv,"0,0233405931",,,,,,,,,,,,,,,"0,9585798817",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Media,"70,6829098503",,,,,,,,,,,,,,,,,,,,"0,9112426036",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Desv,"3,5896098649",,,,,,,,,,,,,,,,,,,,"0,9585798817",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,8698224852",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media,"0,9278802645",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desv,"0,0377797551",,,,,,,,,,,,,,,,,,,,,,,,,
